"SUID","KEGG_ID","KEGG_LINK","KEGG_NODE_FILL_COLOR","KEGG_NODE_HEIGHT","KEGG_NODE_LABEL","KEGG_NODE_LABEL_COLOR","KEGG_NODE_LABEL_LIST","KEGG_NODE_LABEL_LIST_FIRST","KEGG_NODE_REACTIONID","KEGG_NODE_SHAPE","KEGG_NODE_TYPE","KEGG_NODE_WIDTH","KEGG_NODE_X","KEGG_NODE_Y","name","selected","shared name"
"260","sce:YKL060C","https://www.kegg.jp/dbget-bin/www_bget?sce:YKL060C","#BFFFBF","17","FBA1, LOT1","#000000","FBA1|LOT1","FBA1","rn:R01070","rectangle","gene","46","483","407","path:sce00010:18","false","path:sce00010:18"
"261","sce:YER073W|sce:YMR110C|sce:YOR374W|sce:YPL061W","https://www.kegg.jp/dbget-bin/www_bget?sce:YER073W+sce:YMR110C+sce:YOR374W+sce:YPL061W","#BFFFBF","17","ALD5...","#000000","ALD5...","ALD5...","rn:R00710","rectangle","gene","46","284","948","path:sce00010:42","false","path:sce00010:42"
"262","ko:K01905|ko:K22224","https://www.kegg.jp/dbget-bin/www_bget?K01905+K22224","#FFFFFF","17","K01905...","#000000","K01905...","K01905...","rn:R00229","rectangle","ortholog","46","146","916","path:sce00010:43","false","path:sce00010:43"
"263","sce:YMR169C|sce:YMR170C","https://www.kegg.jp/dbget-bin/www_bget?sce:YMR169C+sce:YMR170C","#BFFFBF","17","ALD3...","#000000","ALD3...","ALD3...","rn:R00711","rectangle","gene","46","259","969","path:sce00010:44","false","path:sce00010:44"
"264","cpd:C00033","https://www.kegg.jp/dbget-bin/www_bget?C00033","#FFFFFF","8","C00033","#000000","C00033","Acetate",,"circle","compound","8","146","958","path:sce00010:45","false","path:sce00010:45"
"265","path:sce00030","https://www.kegg.jp/dbget-bin/www_bget?sce00030","#89b9cE","237","Pentose phosphate pathway","#000000","Pentose phosphate pathway","Pentose phosphate pathway",,"roundrectangle","map","62","656","339","path:sce00010:46","false","path:sce00010:46"
"266","path:sce00500","https://www.kegg.jp/dbget-bin/www_bget?sce00500","#89b9cE","34","Starch and sucrose metabolism","#000000","Starch and sucrose metabolism","Starch and sucrose metabolism",,"roundrectangle","map","110","484","76","path:sce00010:47","false","path:sce00010:47"
"267","sce:YDL080C|sce:YGR087C|sce:YLR044C|sce:YLR134W","https://www.kegg.jp/dbget-bin/www_bget?sce:YDL080C+sce:YGR087C+sce:YLR044C+sce:YLR134W","#BFFFBF","17","THI3, KID1...","#000000","THI3|KID1...","THI3","rn:R00755","rectangle","gene","46","378","915","path:sce00010:48","false","path:sce00010:48"
"268","sce:YCR105W|sce:YMR318C","https://www.kegg.jp/dbget-bin/www_bget?sce:YCR105W+sce:YMR318C","#BFFFBF","17","ADH7, ADHVII...","#000000","ADH7|ADHVII...","ADH7","rn:R00746","rectangle","gene","46","487","948","path:sce00010:49","false","path:sce00010:49"
"269","sce:YBR145W|sce:YDL168W|sce:YGL256W|sce:YMR083W|sce:YMR303C|sce:YOL086C","https://www.kegg.jp/dbget-bin/www_bget?sce:YBR145W+sce:YDL168W+sce:YGL256W+sce:YMR083W+sce:YMR303C+sce:YOL086C","#BFFFBF","17","ADH5...","#000000","ADH5...","ADH5...","rn:R00754","rectangle","gene","46","439","941","path:sce00010:50","false","path:sce00010:50"
"270","sce:YDL080C|sce:YGR087C|sce:YLR044C|sce:YLR134W","https://www.kegg.jp/dbget-bin/www_bget?sce:YDL080C+sce:YGR087C+sce:YLR044C+sce:YLR134W","#BFFFBF","17","THI3, KID1...","#000000","THI3|KID1...","THI3","rn:R00014","rectangle","gene","46","431","879","path:sce00010:51","false","path:sce00010:51"
"271","sce:YBR221C|sce:YER178W","https://www.kegg.jp/dbget-bin/www_bget?sce:YBR221C+sce:YER178W","#BFFFBF","17","PDB1...","#000000","PDB1...","PDB1...","rn:R00014","rectangle","gene","46","431","858","path:sce00010:52","false","path:sce00010:52"
"272","sce:YBR221C|sce:YER178W","https://www.kegg.jp/dbget-bin/www_bget?sce:YBR221C+sce:YER178W","#BFFFBF","17","PDB1...","#000000","PDB1...","PDB1...","rn:R03270","rectangle","gene","46","319","870","path:sce00010:53","false","path:sce00010:53"
"273","sce:YNL071W","https://www.kegg.jp/dbget-bin/www_bget?sce:YNL071W","#BFFFBF","17","LAT1, ODP2, PDA2","#000000","LAT1|ODP2|PDA2","LAT1","rn:R02569","rectangle","gene","46","210","870","path:sce00010:54","false","path:sce00010:54"
"274","ko:K00016","https://www.kegg.jp/dbget-bin/www_bget?K00016","#FFFFFF","17","K00016","#000000","K00016","K00016","rn:R00703","rectangle","ortholog","46","558","869","path:sce00010:55","false","path:sce00010:55"
"275","path:sce00620","https://www.kegg.jp/dbget-bin/www_bget?sce00620","#89b9cE","34","Pyruvate metabolism","#000000","Pyruvate metabolism","Pyruvate metabolism",,"roundrectangle","map","78","384","763","path:sce00010:56","false","path:sce00010:56"
"276","sce:YAL038W|sce:YOR347C","https://www.kegg.jp/dbget-bin/www_bget?sce:YAL038W+sce:YOR347C","#BFFFBF","17","CDC19, PYK1...","#000000","CDC19|PYK1...","CDC19","rn:R00200","rectangle","gene","46","483","771","path:sce00010:57","false","path:sce00010:57"
"277","path:sce00020","https://www.kegg.jp/dbget-bin/www_bget?sce00020","#89b9cE","154","Citrate cycle (TCA cycle)","#000000","Citrate cycle (TCA cycle)","Citrate cycle (TCA cycle)",,"roundrectangle","map","47","64","800","path:sce00010:58","false","path:sce00010:58"
"278","sce:YGR254W|sce:YHR174W|sce:YMR323W|sce:YOR393W|sce:YPL281C","https://www.kegg.jp/dbget-bin/www_bget?sce:YGR254W+sce:YHR174W+sce:YMR323W+sce:YOR393W+sce:YPL281C","#BFFFBF","17","ENO1, HSP48...","#000000","ENO1|HSP48...","ENO1","rn:R00658","rectangle","gene","46","483","701","path:sce00010:59","false","path:sce00010:59"
"279","sce:YDL021W|sce:YKL152C|sce:YOL056W","https://www.kegg.jp/dbget-bin/www_bget?sce:YDL021W+sce:YKL152C+sce:YOL056W","#BFFFBF","17","GPM2...","#000000","GPM2...","GPM2...","rn:R01518","rectangle","gene","46","458","630","path:sce00010:60","false","path:sce00010:60"
"280","sce:YGR192C|sce:YJL052W|sce:YJR009C","https://www.kegg.jp/dbget-bin/www_bget?sce:YGR192C+sce:YJL052W+sce:YJR009C","#BFFFBF","17","TDH3, GLD1, HSP35, HSP36, SSS2...","#000000","TDH3|GLD1|HSP35|HSP36|SSS2...","TDH3","rn:R01061","rectangle","gene","46","458","484","path:sce00010:61","false","path:sce00010:61"
"281","sce:YDR050C","https://www.kegg.jp/dbget-bin/www_bget?sce:YDR050C","#BFFFBF","17","TPI1","#000000","TPI1","TPI1","rn:R01015","rectangle","gene","46","386","449","path:sce00010:62","false","path:sce00010:62"
"282","sce:YGR240C|sce:YMR205C","https://www.kegg.jp/dbget-bin/www_bget?sce:YGR240C+sce:YMR205C","#BFFFBF","17","PFK1...","#000000","PFK1...","PFK1...","rn:R04779","rectangle","gene","46","458","336","path:sce00010:63","false","path:sce00010:63"
